Date,Time,RMS(mV),Activation(%),MDF(Hz),Fatigue(%),Quality
2026-07-11,'16:33:31.574',212.002,0.0,48.6,0.0,3
2026-07-11,'16:33:31.594',212.613,0.0,48.8,0.0,3
2026-07-11,'16:33:31.695',249.353,0.0,49.0,0.0,3
2026-07-11,'16:33:31.795',256.532,0.0,49.3,0.0,3
2026-07-11,'16:33:31.894',189.335,0.0,49.3,0.0,3
2026-07-11,'16:33:31.994',110.302,0.0,49.2,0.0,3
2026-07-11,'16:33:32.094',83.459,0.0,48.0,0.0,3
2026-07-11,'16:33:32.195',66.775,0.0,47.9,0.0,3
2026-07-11,'16:33:32.295',68.255,0.0,48.1,0.0,3
2026-07-11,'16:33:32.394',80.573,0.0,48.4,0.0,3
2026-07-11,'16:33:33.502',90.332,0.0,48.5,0.0,3
2026-07-11,'16:33:33.523',102.472,0.0,48.5,0.0,3
2026-07-11,'16:33:33.622',256.083,0.0,48.8,0.0,3
2026-07-11,'16:33:33.722',292.711,0.0,48.6,0.0,3
2026-07-11,'16:33:33.823',302.002,0.0,48.5,0.0,3
2026-07-11,'16:33:33.923',210.915,0.0,48.6,0.0,3
2026-07-11,'16:33:34.022',138.772,0.0,48.7,0.0,3
2026-07-11,'16:33:34.122',96.727,0.0,48.7,0.0,3
2026-07-11,'16:33:34.222',79.262,0.0,47.7,0.0,3
2026-07-11,'16:33:34.323',52.221,0.0,47.3,0.0,3
2026-07-11,'16:33:34.938',216.005,0.0,47.9,0.0,3
2026-07-11,'16:33:34.960',217.952,0.0,48.4,0.0,3
2026-07-11,'16:33:35.058',250.458,0.0,48.1,0.0,3
2026-07-11,'16:33:35.158',264.724,0.0,47.9,0.0,3
2026-07-11,'16:33:35.258',191.912,0.0,47.9,0.0,3
2026-07-11,'16:33:35.359',116.639,0.0,47.7,0.0,3
2026-07-11,'16:33:35.459',80.477,0.0,48.0,0.0,3
2026-07-11,'16:33:35.558',87.934,0.0,48.2,0.0,3
2026-07-11,'16:33:35.658',82.668,0.0,48.3,0.0,3
2026-07-11,'16:33:35.758',77.258,0.0,47.5,0.0,3
2026-07-11,'16:33:36.875',47.814,0.0,47.3,0.0,3
2026-07-11,'16:33:36.896',48.052,0.0,47.1,0.0,3
2026-07-11,'16:33:36.996',68.108,0.0,47.4,0.0,3
2026-07-11,'16:33:37.096',63.568,0.0,47.4,0.0,3
2026-07-11,'16:33:37.195',76.063,0.0,48.0,0.0,3
2026-07-11,'16:33:37.295',55.514,0.0,48.0,0.0,3
2026-07-11,'16:33:37.395',50.455,0.0,48.1,0.0,3
2026-07-11,'16:33:37.496',29.522,0.0,62.8,0.0,3
2026-07-11,'16:33:37.596',47.367,0.0,58.7,0.0,3
2026-07-11,'16:33:37.695',80.977,0.0,55.2,0.0,3
2026-07-11,'16:33:38.414',227.051,0.0,53.2,0.0,3
2026-07-11,'16:33:38.434',229.022,0.0,52.0,0.0,3
2026-07-11,'16:33:38.535',262.446,0.0,50.7,0.0,3
2026-07-11,'16:33:38.635',269.101,0.0,49.7,0.0,3
2026-07-11,'16:33:38.735',194.517,0.0,49.3,0.0,3
2026-07-11,'16:33:38.834',141.344,0.0,49.3,0.0,3
2026-07-11,'16:33:38.935',107.343,0.0,49.1,0.0,3
2026-07-11,'16:33:39.034',83.595,0.0,48.4,0.0,3
2026-07-11,'16:33:39.136',48.483,0.0,48.6,0.0,3
2026-07-11,'16:33:39.235',87.509,0.0,48.7,0.0,3
2026-07-11,'16:33:40.463',123.055,0.0,48.6,0.0,3
2026-07-11,'16:33:40.484',129.450,0.0,48.6,0.0,3
2026-07-11,'16:33:40.583',247.013,0.0,48.9,0.0,3
2026-07-11,'16:33:40.684',267.819,0.0,48.9,0.0,3
2026-07-11,'16:33:40.784',263.839,0.0,48.8,0.0,3
2026-07-11,'16:33:40.884',181.443,0.0,48.8,0.0,3
2026-07-11,'16:33:40.983',125.439,0.0,48.9,0.0,3
2026-07-11,'16:33:41.083',90.785,0.0,48.8,0.0,3
2026-07-11,'16:33:41.183',73.071,0.0,48.1,0.0,3
2026-07-11,'16:33:41.284',43.264,0.0,48.4,0.0,3
2026-07-11,'16:33:41.885',214.201,0.0,48.9,0.0,3
2026-07-11,'16:33:41.907',214.248,0.0,49.3,0.0,3
2026-07-11,'16:33:42.006',270.598,0.0,49.4,0.0,3
2026-07-11,'16:33:42.105',287.665,0.0,49.4,0.0,3
2026-07-11,'16:33:42.205',227.556,0.0,48.9,0.0,3
2026-07-11,'16:33:42.306',138.976,0.0,48.5,0.0,3
2026-07-11,'16:33:42.406',97.827,0.0,48.6,0.0,3
2026-07-11,'16:33:42.505',90.280,0.0,48.8,0.0,3
2026-07-11,'16:33:42.605',79.369,0.0,48.8,0.0,3
2026-07-11,'16:33:42.705',72.732,0.0,48.0,0.0,3
2026-07-11,'16:33:43.823',44.683,0.0,48.0,0.0,3
2026-07-11,'16:33:43.844',45.214,0.0,48.0,0.0,3
2026-07-11,'16:33:43.944',42.171,0.0,48.3,0.0,3
2026-07-11,'16:33:44.043',45.056,0.0,48.8,0.0,3
2026-07-11,'16:33:44.143',43.893,0.0,49.2,0.0,3
2026-07-11,'16:33:44.243',55.230,0.0,49.6,0.0,3
2026-07-11,'16:33:44.344',51.163,0.0,49.1,0.0,3
2026-07-11,'16:33:44.444',57.077,0.0,49.2,0.0,3
2026-07-11,'16:33:44.544',75.830,0.0,49.3,0.0,3
2026-07-11,'16:33:44.643',85.378,0.0,49.0,0.0,3
2026-07-11,'16:33:45.257',230.547,0.0,49.0,0.0,3
2026-07-11,'16:33:45.277',230.817,0.0,49.0,0.0,3
2026-07-11,'16:33:45.379',235.951,0.0,48.5,0.0,3
2026-07-11,'16:33:45.478',238.613,0.0,47.6,0.0,3
2026-07-11,'16:33:45.578',153.777,0.0,47.9,0.0,3
2026-07-11,'16:33:45.677',127.919,0.0,48.1,0.0,3
2026-07-11,'16:33:45.777',108.227,0.0,48.2,0.0,3
2026-07-11,'16:33:45.878',88.057,0.0,47.9,0.0,3
2026-07-11,'16:33:45.978',72.272,0.0,48.2,0.0,3
2026-07-11,'16:33:46.078',97.028,0.0,48.3,0.0,3
2026-07-11,'16:33:47.412',129.809,0.0,48.4,0.0,3
2026-07-11,'16:33:47.433',129.981,0.0,48.4,0.0,3
2026-07-11,'16:33:47.533',130.827,0.0,48.4,0.0,3
2026-07-11,'16:33:47.633',111.163,0.0,47.3,0.0,3
2026-07-11,'16:33:47.732',87.920,0.0,48.0,0.0,3
2026-07-11,'16:33:47.832',65.682,0.0,48.0,0.0,3
2026-07-11,'16:33:47.933',59.170,0.0,48.0,0.0,3
2026-07-11,'16:33:48.033',59.680,0.0,48.4,0.0,3
2026-07-11,'16:33:48.133',92.154,0.0,48.4,0.0,3
2026-07-11,'16:33:48.232',129.511,0.0,48.4,0.0,3
2026-07-11,'16:33:49.044',263.267,0.0,48.7,0.0,3
2026-07-11,'16:33:49.066',263.271,0.0,48.8,0.0,3
2026-07-11,'16:33:49.164',271.971,0.0,48.8,0.0,3
2026-07-11,'16:33:49.264',264.917,0.0,47.6,0.0,3
2026-07-11,'16:33:49.365',164.022,0.0,47.7,0.0,3
2026-07-11,'16:33:49.465',96.564,0.0,47.6,0.0,3
2026-07-11,'16:33:49.565',74.635,0.0,48.0,0.0,3
2026-07-11,'16:33:49.665',92.689,0.0,48.3,0.0,3
2026-07-11,'16:33:50.367',125.436,0.0,48.4,0.0,3
2026-07-11,'16:33:50.388',128.389,0.0,48.5,0.0,3
2026-07-11,'16:33:51.087',195.418,0.0,48.6,0.0,3
2026-07-11,'16:33:51.109',195.372,0.0,48.7,0.0,3
2026-07-11,'16:33:51.208',237.256,0.0,48.8,0.0,3
2026-07-11,'16:33:51.307',248.566,0.0,48.9,0.0,3
2026-07-11,'16:33:51.407',224.306,0.0,48.9,0.0,3
2026-07-11,'16:33:51.507',171.459,0.0,48.8,0.0,3
2026-07-11,'16:33:51.608',121.252,0.0,48.9,0.0,3
2026-07-11,'16:33:51.708',79.321,0.0,52.4,0.0,3
2026-07-11,'16:33:51.807',82.716,0.0,52.2,0.0,3
2026-07-11,'16:33:51.907',77.582,0.0,51.1,0.0,3
2026-07-11,'16:33:52.621',181.355,0.0,50.8,0.0,3
2026-07-11,'16:33:52.642',181.671,0.0,50.7,0.0,3
2026-07-11,'16:33:52.742',181.662,0.0,49.7,0.0,3
2026-07-11,'16:33:53.539',185.428,0.0,48.3,0.0,3
2026-07-11,'16:33:53.559',185.364,0.0,47.5,0.0,3
2026-07-11,'16:33:53.661',120.258,0.0,47.7,0.0,3
2026-07-11,'16:33:53.760',94.025,0.0,47.0,0.0,3
2026-07-11,'16:33:53.859',101.132,0.0,47.5,0.0,3
2026-07-11,'16:33:53.959',91.689,0.0,47.7,0.0,3
2026-07-11,'16:33:54.059',76.659,0.0,47.8,0.0,3
2026-07-11,'16:33:54.766',44.228,0.0,48.3,0.0,3
2026-07-11,'16:33:54.788',55.438,0.0,48.7,0.0,3
2026-07-11,'16:33:54.887',194.440,0.0,48.8,0.0,3
2026-07-11,'16:33:54.986',232.013,0.0,48.7,0.0,3
2026-07-11,'16:33:55.086',245.894,0.0,48.6,0.0,3
2026-07-11,'16:33:55.186',178.668,0.0,48.3,0.0,3
2026-07-11,'16:33:55.287',112.078,0.0,48.4,0.0,3
2026-07-11,'16:33:55.387',82.912,0.0,48.5,0.0,3
2026-07-11,'16:33:55.486',86.064,0.0,48.7,0.0,3
2026-07-11,'16:33:55.586',81.172,0.0,48.6,0.0,3
2026-07-11,'16:33:57.117',200.090,0.0,48.6,0.0,3
2026-07-11,'16:33:57.138',200.096,0.0,48.5,0.0,3
2026-07-11,'16:33:57.237',206.969,0.0,48.4,0.0,3
2026-07-11,'16:33:57.337',212.991,0.0,48.8,0.0,3
2026-07-11,'16:33:57.438',131.200,0.0,48.4,0.0,3
2026-07-11,'16:33:57.538',89.822,0.0,48.6,0.0,3
2026-07-11,'16:33:57.637',82.592,0.0,48.9,0.0,3
2026-07-11,'16:33:57.737',70.480,0.0,48.8,0.0,3
2026-07-11,'16:33:57.837',66.776,0.0,48.0,0.0,3
2026-07-11,'16:33:57.938',42.063,0.0,48.0,0.0,3
2026-07-11,'16:33:58.754',48.911,0.0,48.7,0.0,3
2026-07-11,'16:33:58.775',49.052,0.0,49.3,0.0,3
2026-07-11,'16:33:58.874',75.141,0.0,49.6,0.0,3
2026-07-11,'16:33:58.974',97.671,0.0,49.2,0.0,3
2026-07-11,'16:33:59.075',98.735,0.0,48.8,0.0,3
2026-07-11,'16:33:59.175',81.252,0.0,48.8,0.0,3
2026-07-11,'16:33:59.274',71.764,0.0,49.2,0.0,3
2026-07-11,'16:33:59.374',59.001,0.0,49.0,0.0,3
2026-07-11,'16:34:00.397',60.611,0.0,48.5,0.0,3
2026-07-11,'16:34:00.418',65.785,0.0,48.1,0.0,3
2026-07-11,'16:34:01.103',204.925,0.0,47.4,0.0,3
2026-07-11,'16:34:01.125',205.019,0.0,46.8,0.0,3
2026-07-11,'16:34:01.225',220.436,0.0,46.8,0.0,3
2026-07-11,'16:34:01.325',225.210,0.0,47.4,0.0,3
2026-07-11,'16:34:01.424',146.900,0.0,47.7,0.0,3
2026-07-11,'16:34:01.524',91.963,0.0,48.0,0.0,3
2026-07-11,'16:34:01.625',70.831,0.0,47.9,0.0,3
2026-07-11,'16:34:01.725',59.323,0.0,48.3,0.0,3
2026-07-11,'16:34:01.824',85.416,0.0,48.4,0.0,3
2026-07-11,'16:34:01.924',85.885,0.0,48.4,0.0,3
2026-07-11,'16:34:03.041',78.412,0.0,48.0,0.0,3
2026-07-11,'16:34:03.061',78.688,0.0,47.8,0.0,3
2026-07-11,'16:34:03.162',86.393,0.0,47.4,0.0,3
2026-07-11,'16:34:03.262',81.659,0.0,47.5,0.0,3
2026-07-11,'16:34:03.362',87.294,0.0,48.0,0.0,3
2026-07-11,'16:34:03.461',84.857,0.0,48.2,0.0,3
2026-07-11,'16:34:03.561',78.256,0.0,48.2,0.0,3
2026-07-11,'16:34:03.662',73.020,0.0,48.2,0.0,3
2026-07-11,'16:34:03.762',62.452,0.0,48.5,0.0,3
2026-07-11,'16:34:03.862',86.942,0.0,48.5,0.0,3
2026-07-11,'16:34:06.417',230.643,0.0,48.7,0.0,3
2026-07-11,'16:34:07.030',232.916,0.0,48.9,0.0,3
2026-07-11,'16:34:07.753',232.927,0.0,49.0,0.0,3
2026-07-11,'16:34:07.774',234.405,0.0,49.1,0.0,3
2026-07-11,'16:34:07.874',263.149,0.0,48.8,0.0,3
2026-07-11,'16:34:07.974',272.495,0.0,48.4,0.0,3
2026-07-11,'16:34:08.073',200.601,0.0,48.5,0.0,3
2026-07-11,'16:34:08.173',138.798,0.0,48.5,0.0,3
2026-07-11,'16:34:08.274',96.386,0.0,48.2,0.0,3
2026-07-11,'16:34:08.374',76.659,0.0,48.4,0.0,3
2026-07-11,'16:34:08.474',94.319,0.0,48.5,0.0,3
2026-07-11,'16:34:08.573',123.332,0.0,48.6,0.0,3
2026-07-11,'16:34:09.205',118.104,0.0,48.5,0.0,3
2026-07-11,'16:34:09.225',122.649,0.0,48.5,0.0,3
2026-07-11,'16:34:09.326',231.137,0.0,48.7,0.0,3
2026-07-11,'16:34:09.426',241.603,0.0,48.7,0.0,3
2026-07-11,'16:34:10.093',244.467,0.0,48.7,0.0,3
2026-07-11,'16:34:10.114',245.206,0.0,48.8,0.0,3
2026-07-11,'16:34:10.213',245.088,0.0,49.1,0.0,3
2026-07-11,'16:34:10.314',235.871,0.0,48.8,0.0,3
2026-07-11,'16:34:10.414',274.006,0.0,48.7,0.0,3
2026-07-11,'16:34:10.514',247.510,0.0,48.9,0.0,3
2026-07-11,'16:34:11.120',212.900,0.0,49.0,0.0,3
2026-07-11,'16:34:11.141',214.794,0.0,49.0,0.0,3
2026-07-11,'16:34:11.241',238.318,0.0,49.3,0.0,3
2026-07-11,'16:34:11.340',235.440,0.0,49.3,0.0,3
2026-07-11,'16:34:11.441',234.940,0.0,49.1,0.0,3
2026-07-11,'16:34:11.541',182.432,0.0,49.0,0.0,3
2026-07-11,'16:34:11.640',137.852,0.0,49.0,0.0,3
2026-07-11,'16:34:11.740',110.021,0.0,48.9,0.0,3
2026-07-11,'16:34:11.840',89.070,0.0,48.2,0.0,3
2026-07-11,'16:34:11.941',54.970,0.0,48.5,0.0,3
2026-07-11,'16:34:13.057',66.113,0.0,48.7,0.0,3
2026-07-11,'16:34:13.080',66.101,0.0,48.9,0.0,3
2026-07-11,'16:34:13.177',93.445,0.0,48.9,0.0,3
2026-07-11,'16:34:13.277',92.919,0.0,48.8,0.0,3
2026-07-11,'16:34:13.377',82.094,0.0,48.2,0.0,3
2026-07-11,'16:34:13.478',45.946,0.0,48.3,0.0,3
2026-07-11,'16:34:13.578',53.256,0.0,49.0,0.0,3
2026-07-11,'16:34:13.677',83.837,0.0,49.0,0.0,3
2026-07-11,'16:34:13.777',239.819,0.0,49.2,0.0,3
2026-07-11,'16:34:13.877',274.989,0.0,49.1,0.0,3
2026-07-11,'16:34:14.493',282.499,0.0,48.7,0.0,3
2026-07-11,'16:34:14.514',283.070,0.0,48.5,0.0,3
2026-07-11,'16:34:14.614',212.571,0.0,48.1,0.0,3
2026-07-11,'16:34:14.713',141.879,0.0,47.3,0.0,3
2026-07-11,'16:34:14.813',104.187,0.0,47.6,0.0,3
2026-07-11,'16:34:14.913',80.200,0.0,47.3,0.0,3
2026-07-11,'16:34:15.014',69.802,0.0,47.3,0.0,3
2026-07-11,'16:34:15.114',67.880,0.0,47.6,0.0,3
2026-07-11,'16:34:15.213',80.327,0.0,47.9,0.0,3
2026-07-11,'16:34:15.313',75.359,0.0,48.0,0.0,3
2026-07-11,'16:34:16.430',74.313,0.0,47.7,0.0,3
2026-07-11,'16:34:16.450',74.686,0.0,47.4,0.0,3
2026-07-11,'16:34:16.551',102.314,0.0,47.2,0.0,3
2026-07-11,'16:34:16.651',102.088,0.0,47.3,0.0,3
2026-07-11,'16:34:16.751',104.666,0.0,47.7,0.0,3
2026-07-11,'16:34:16.850',89.693,0.0,48.0,0.0,3
2026-07-11,'16:34:16.950',77.788,0.0,48.0,0.0,3
2026-07-11,'16:34:17.051',72.610,0.0,48.0,0.0,3
2026-07-11,'16:34:17.151',233.365,0.0,48.6,0.0,3
2026-07-11,'16:34:17.251',283.056,0.0,48.6,0.0,3
2026-07-11,'16:34:33.504',348.408,0.0,45.2,0.0,3
2026-07-11,'16:34:33.604',340.389,0.0,45.5,0.0,3
2026-07-11,'16:34:33.704',265.739,0.0,46.3,0.0,3
2026-07-11,'16:34:33.805',172.028,0.0,46.7,0.0,3
2026-07-11,'16:34:33.905',124.011,0.0,47.7,0.0,3
2026-07-11,'16:34:34.005',89.889,0.0,48.3,0.0,3
2026-07-11,'16:34:34.104',77.292,0.0,48.5,0.0,3
2026-07-11,'16:34:34.204',66.521,0.0,48.9,0.0,3
2026-07-11,'16:34:34.304',53.428,0.0,49.7,0.0,3
2026-07-11,'16:34:34.405',42.827,0.0,64.0,0.0,3
2026-07-11,'16:34:35.242',63.386,0.0,63.4,0.0,3
2026-07-11,'16:34:35.263',63.529,0.0,61.7,0.0,3
2026-07-11,'16:34:35.362',85.364,0.0,57.9,0.0,3
2026-07-11,'16:34:35.463',90.102,0.0,55.3,0.0,3
2026-07-11,'16:34:35.563',84.505,0.0,53.3,0.0,3
2026-07-11,'16:34:36.151',66.287,0.0,52.2,0.0,3
2026-07-11,'16:34:36.172',69.593,0.0,51.5,0.0,3
2026-07-11,'16:34:36.271',313.623,0.0,50.4,0.0,3
2026-07-11,'16:34:36.371',361.846,0.0,49.5,0.0,3
2026-07-11,'16:34:36.472',379.458,0.0,48.9,0.0,3
2026-07-11,'16:34:37.076',344.558,0.0,48.8,0.0,3
2026-07-11,'16:34:37.098',344.646,0.0,48.7,0.0,3
2026-07-11,'16:34:37.196',324.377,0.0,48.8,0.0,3
2026-07-11,'16:34:37.296',315.871,0.0,49.0,0.0,3
2026-07-11,'16:34:37.396',249.003,0.0,48.4,0.0,3
2026-07-11,'16:34:37.497',167.075,0.0,48.1,0.0,3
2026-07-11,'16:34:37.597',120.746,0.0,48.3,0.0,3
2026-07-11,'16:34:37.696',89.301,0.0,48.6,0.0,3
2026-07-11,'16:34:37.796',73.335,0.0,48.7,0.0,3
2026-07-11,'16:34:37.896',75.748,0.0,48.3,0.0,3
2026-07-11,'16:34:38.507',69.877,0.0,48.3,0.0,3
